Num_species,Replicate_number,Num_total_DAR,Num_cDAR,Num_uDAR
450,70,289,128,161
450,71,289,133,156
450,72,289,124,165
450,73,289,133,156
450,74,289,130,159
450,75,289,134,155
450,76,289,135,154
450,77,289,132,157
450,78,289,132,157
450,79,289,132,157
450,80,289,129,160
450,81,289,129,160
450,82,289,132,157
450,83,289,131,158
450,84,289,128,161
450,85,289,128,161
450,86,289,128,161
450,87,289,131,158
450,88,289,133,156
450,89,289,128,161
450,90,289,129,160
450,91,289,133,156
450,92,289,131,158
450,93,289,128,161
450,94,289,132,157
450,95,289,126,163
450,96,289,129,160
450,97,289,127,162
450,98,289,130,159
450,99,289,120,169
500,0,289,130,159
500,1,289,131,158
500,2,289,132,157
500,3,289,129,160
500,4,289,126,163
500,5,289,128,161
500,6,289,127,162
500,7,289,136,153
500,8,289,131,158
500,9,289,140,149
500,10,289,135,154
500,11,289,131,158
500,12,289,131,158
500,13,289,135,154
500,14,289,128,161
500,15,289,132,157
500,16,289,125,164
500,17,289,134,155
500,18,289,134,155
500,19,289,134,155
500,20,289,130,159
500,21,289,135,154
500,22,289,130,159
500,23,289,136,153
500,24,289,129,160
500,25,289,129,160
500,26,289,131,158
500,27,289,128,161
500,28,289,129,160
500,29,289,124,165
500,30,289,135,154
500,31,289,134,155
500,32,289,131,158
500,33,289,131,158
500,34,289,132,157
500,35,289,134,155
500,36,289,135,154
500,37,289,133,156
500,38,289,126,163
500,39,289,128,161
500,40,289,134,155
500,41,289,126,163
500,42,289,130,159
500,43,289,132,157
500,44,289,134,155
500,45,289,131,158
500,46,289,131,158
500,47,289,134,155
500,48,289,134,155
500,49,289,132,157
500,50,289,130,159
500,51,289,133,156
500,52,289,132,157
500,53,289,130,159
500,54,289,129,160
500,55,289,128,161
500,56,289,136,153
500,57,289,135,154
500,58,289,131,158
500,59,289,127,162
500,60,289,127,162
500,61,289,129,160
500,62,289,130,159
500,63,289,126,163
500,64,289,130,159
500,65,289,135,154
500,66,289,134,155
500,67,289,131,158
500,68,289,136,153
500,69,289,137,152
500,70,289,135,154
500,71,289,129,160
500,72,289,131,158
500,73,289,131,158
500,74,289,130,159
500,75,289,135,154
500,76,289,131,158
500,77,289,134,155
500,78,289,135,154
500,79,289,129,160
500,80,289,131,158
500,81,289,129,160
500,82,289,131,158
500,83,289,132,157
500,84,289,134,155
500,85,289,131,158
500,86,289,133,156
500,87,289,133,156
500,88,289,130,159
500,89,289,135,154
500,90,289,129,160
500,91,289,133,156
500,92,289,127,162
500,93,289,128,161
500,94,289,127,162
500,95,289,133,156
500,96,289,133,156
500,97,289,130,159
500,98,289,133,156
500,99,289,131,158
550,0,289,134,155
550,1,289,135,154
550,2,289,132,157
550,3,289,131,158
550,4,289,130,159
550,5,289,135,154
550,6,289,135,154
550,7,289,133,156
550,8,289,142,147
550,9,289,137,152
550,10,289,135,154
550,11,289,130,159
550,12,289,131,158
550,13,289,134,155
550,14,289,127,162
550,15,289,139,150
550,16,289,136,153
550,17,289,133,156
550,18,289,132,157
550,19,289,131,158
550,20,289,133,156
550,21,289,131,158
550,22,289,130,159
550,23,289,133,156
550,24,289,133,156
550,25,289,130,159
550,26,289,134,155
550,27,289,137,152
550,28,289,134,155
550,29,289,132,157
550,30,289,134,155
550,31,289,135,154
550,32,289,135,154
550,33,289,129,160
550,34,289,133,156
